City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Impfondo,CG,84.56,overcast clouds,1.6381,18.0667,
441,Zhezkazgan,KZ,53.58,scattered clouds,47.8043,67.7144,
442,Beloye,UA,59.52,few clouds,48.4952,39.0505,
443,Asau,RO,62.96,few clouds,46.4333,26.4,
444,Lithakia,GR,67.37,few clouds,37.7167,20.8333,
445,Pavelets,RU,59.58,scattered clouds,53.7883,39.246,
446,Champerico,GT,82.2,overcast clouds,14.3,-91.9167,
447,Tulum,MX,79.5,clear sky,20.2167,-87.4667,
448,Lujan,AR,57.94,clear sky,-34.5703,-59.105,
449,Kolbermoor,DE,56.86,overcast clouds,47.85,12.0667,
450,Laredo,US,77.29,broken clouds,27.5064,-99.5075,
451,Chicama,PE,59.54,broken clouds,-7.8447,-79.1469,
452,Manacapuru,BR,74.25,heavy intensity rain,-3.2997,-60.6206,
453,Mabay,PH,84.4,moderate rain,6.0577,124.4666,
454,Mayskiy,RU,62.01,overcast clouds,47.6931,40.1025,
455,Montes Altos,BR,70.14,broken clouds,-5.8333,-47.0667,
456,Rodrigues Alves,BR,69.15,clear sky,-7.738,-72.6509,
458,Safranbolu,TR,60.06,scattered clouds,41.2508,32.6942,
459,Gimbi,ET,68.56,overcast clouds,9.1667,35.8333,
460,Hun,LY,73.67,clear sky,29.1268,15.9477,
461,Airai,TL,67.01,broken clouds,-8.9266,125.4092,
462,Brigantine,US,46.02,overcast clouds,39.4101,-74.3646,
463,Umm Lajj,SA,87.26,clear sky,25.0213,37.2685,
464,Balkhash,KZ,65.01,clear sky,46.844,74.9804,
